desc_translation,sentiment
"I ❤️science, Therefore a Commie. ☭ FALGSC: Part of a conspiracy How many followers wants to Achieve World Domination. Tankie-Cornucopian. Ecology is a myth",Positive
"I tweet a lot but love to engage and converse. Prev @ebay + @SchibstedGroup, now @Danone SN Global Search Traffic & Lead ... Love #travel #digital & @SEOMeetups",Positive
,Neutral
,Neutral
Budget-Life Coach. Time management coaching. hated hypocritical liars Political & list lies and deceit. member with own Opinion.,Negative
Budget-Life Coach. Time management coaching. hated hypocritical liars Political & list lies and deceit. member with own Opinion.,Negative
Political editor Heart Netherlands,Neutral
Political editor Heart Netherlands,Neutral
"British European Optimist Scientist Engineer. Fascinated by the advance of technology. Clueless politicians, United Kingdom and Gibraltar European Union membership referendum and Climate Change are there to be defeated",Neutral
"Surgeon @ Surgery Friesland | Author Heart and Soul | Columnist @ Medisch Contact | = Want to | Married with Tessel | Till father, Vere and Nout",Positive
"Surgeon @ Surgery Friesland | Author Heart and Soul | Columnist @ Medisch Contact | = Want to | Married with Tessel | Till father, Vere and Nout",Positive
"Military, KL, VBDD, 1GNC, NATO, EW / Cyber ​​Politics (GEO). Infected with information besitas. Headquartered in the Achterhoek!
Twitterer personal capacity",Negative
"❌ A critical error occurred trying to install 'Year2020.exe' '
👉'Year2020.exe ""might not work as expected.❗️
Do you want to try again?
🔳 🔳 Yes No",Neutral
I'm only here to piss people off so the little bell turns blue again,Negative
"|| Crazy dutch guy || History ||
🇳🇱 Veteran || Food || Politics ||
Democracy || Freedom of speech || Fishing ||",Negative
Software developer by profession | Fan of solid and sound money systems | No fiat (QE / MMT / Repo / Liquidity) | Precious Metals | Miners (GDX / GDXJ) | BTC,Positive
,Neutral
,Neutral
Communications + innovation,Neutral
,Neutral
,Neutral
,Neutral
"much more than you think.
* Emancipate yourself from mental slavery 'non but ourselves can free our mind *",Positive
"listening, thinking, talking, writing music I / dramaturgy / direction / advice I @Brabant l @WaardevanKunst I",Neutral
"Reliable information about health and disease, made by (family) doctors @nhgnieuws. Over 1,100 texts and 200 Home Arts movies.",Neutral
"Hospitality - Consulting - out-of-the-box / conceptual thinker, teacher,
lyricist, spell check, (web) editor and content manager",Neutral
"Hospitality - Consulting - out-of-the-box / conceptual thinker, teacher,
lyricist, spell check, (web) editor and content manager",Neutral
Math / IT / UNIX / Linux guru / skeptic / or the bane antivaxxers and covidiots / puts a stake in the myths That undead rise from the grave / Oderint dum metuant,Neutral
Math / IT / UNIX / Linux guru / skeptic / or the bane antivaxxers and covidiots / puts a stake in the myths That undead rise from the grave / Oderint dum metuant,Neutral
"55 j young. Sound, light and visual interest. Fleming. Right. Also retweet tweets that I do not agree. Meanwhile, 33 j happily married",Positive
"55 j young. Sound, light and visual interest. Fleming. Right. Also retweet tweets that I do not agree. Meanwhile, 33 j happily married",Positive
"Beware beware sometimes I share one virtual slap out. But mostly I'm sweet.
Also follow as mastodon @ @ Charlot2409 mastodon.social",Positive
,Neutral
,Neutral
"Not this time. 𝔨𝔩𝔞𝔰𝔰𝔦𝔰𝔠𝔥𝔢 𝔡𝔢𝔲𝔱𝔰𝔠𝔥𝔢 𝔓𝔥𝔦𝔩𝔬𝔰𝔬𝔭𝔥𝔦𝔢, Paris change mais rien dans ma melancholy n'a Bougé.",Neutral
"Vlav & Proud :)

Father of one little princess",Positive
passer-by,Neutral
"# Nederlandse_Nederlander🇳🇱
#Meestal_Een_Beetje_Depressief
#Soms_Zwaar_Depressief
#Nog_Steeds_Alcoholvrij
#Haat_Warm_Weer_Haat_Koud_Weer
#Life is hard",Negative
Nerd. Loves drawing and tattooing. Gamer. Former IT there. Reads a lot. Writes. Mother of Charlotte. (I play Fortnite. 🤫),Neutral
The feeling here | The latest news from Brabant | ✉️ New Stip? Send us an appje: +316 82 65 88 06 | 📱 Download the app: https://t.co/JYMSjfHxSK,Positive
Research Master's student @ University of Amsterdam | Political Economy and Economic Sociology | She / her,Positive
"All day news, analysis, opinion and in-depth journalism. Totally different, totally Knack.",Neutral
account instead 1tijro 🚜 PVV #GASKLEVER SAB TIJRO,Neutral
account instead 1tijro 🚜 PVV #GASKLEVER SAB TIJRO,Neutral
Sailed the world ⛵ | Education 🦉 | Non religious | Freedom of speech | Direct Democracy | Offending language or listing = block | Dutch - English - German,Positive
please be safe and sound,Positive
"Bioinformatics (MSc) - Prepper
* SARS CoV2 be underestimated.
#ZeroCovid",Neutral
Quick News for headhunters and commuters. News collected through RSS feeds. Follow back.,Positive
A real people person. That Live the life you love!,Positive
A real people person. That Live the life you love!,Positive
"Because Netherlands could always use more information about coronavirus.

News | care | education | investigations | stimulate debate",Positive
"International nursery trade fair in the Netherlands, where growers, traders and suppliers together from Europe and exhibit the latest developments.",Positive
"Back to Netherlands with anyone who cares.
Regardless of your skin color, religion or race.
1 passport is enough.
Minaretje Rutte, look!",Neutral
,Neutral
,Neutral
,Neutral
Trainer Cossacks Boys JO13-1 / HR Payroll Consultant / Ajax / Chelsea / Pink Floyd / Mark Knopfler / White,Negative
TWITTER MAKE GREAT AGAIN #FreedomOfSpeech,Positive
Keep it polite and .... enjoy!,Positive
bookworm | Dwarskijker | cyclist | Privacyzeloot | Kattengek | Moes Gardening | Montessauriër | Music Lover | pirate | Smulpaap | language Tick,Neutral
"@ 50PLUSpartij, Campaign Leader GR2018. Interests: Kingdom Relations Intl. Straight, gay emancipation. (Tweet personal capacity) (v)",Positive
